Year,Jurisdiction,All students,Average scale score
2022,National,All students,236.0
2022,Alabama,All students,230.0
2022,Alaska,All students,226.0
2022,Arizona,All students,232.0
2022,Arkansas,All students,228.0
2022,California,All students,230.0
2022,Colorado,All students,236.0
2022,Connecticut,All students,236.0
2022,Delaware,All students,226.0
2022,Florida,All students,241.0
2022,Georgia,All students,235.0
2022,Hawaii,All students,237.0
2022,Idaho,All students,236.0
2022,Illinois,All students,237.0
2022,Indiana,All students,239.0
2022,Iowa,All students,240.0
2022,Kansas,All students,235.0
2022,Kentucky,All students,234.0
2022,Louisiana,All students,229.0
2022,Maine,All students,233.0
2022,Maryland,All students,229.0
2022,Massachusetts,All students,242.0
2022,Michigan,All students,232.0
2022,Minnesota,All students,239.0
2022,Mississippi,All students,234.0
2022,Missouri,All students,232.0
2022,Montana,All students,239.0
2022,Nebraska,All students,242.0
2022,Nevada,All students,229.0
2022,New Hampshire,All students,239.0
2022,New Jersey,All students,239.0
2022,New Mexico,All students,221.0
2022,New York,All students,227.0
2022,North Carolina,All students,236.0
2022,North Dakota,All students,240.0
2022,Ohio,All students,238.0
2022,Oklahoma,All students,229.0
2022,Oregon,All students,228.0
2022,Pennsylvania,All students,238.0
2022,Rhode Island,All students,234.0
2022,South Carolina,All students,234.0
2022,South Dakota,All students,239.0
2022,Tennessee,All students,236.0
2022,Texas,All students,239.0
2022,Utah,All students,240.0
2022,Vermont,All students,234.0
2022,Virginia,All students,236.0
2022,Washington,All students,235.0
2022,West Virginia,All students,226.0
2022,Wisconsin,All students,240.0
2022,Wyoming,All students,243.0
2019,National,All students,241.0
2019,Alabama,All students,230.0
2019,Alaska,All students,232.0
2019,Arizona,All students,238.0
2019,Arkansas,All students,233.0
2019,California,All students,235.0
2019,Colorado,All students,242.0
2019,Connecticut,All students,243.0
2019,Delaware,All students,239.0
2019,Florida,All students,246.0
2019,Georgia,All students,238.0
2019,Hawaii,All students,239.0
2019,Idaho,All students,242.0
2019,Illinois,All students,237.0
2019,Indiana,All students,245.0
2019,Iowa,All students,241.0
2019,Kansas,All students,239.0
2019,Kentucky,All students,239.0
2019,Louisiana,All students,231.0
2019,Maine,All students,241.0
2019,Maryland,All students,239.0
2019,Massachusetts,All students,247.0
2019,Michigan,All students,236.0
2019,Minnesota,All students,248.0
2019,Mississippi,All students,241.0
2019,Missouri,All students,238.0
2019,Montana,All students,241.0
2019,Nebraska,All students,244.0
2019,Nevada,All students,236.0
2019,New Hampshire,All students,245.0
2019,New Jersey,All students,246.0
2019,New Mexico,All students,231.0
2019,New York,All students,237.0
2019,North Carolina,All students,241.0
2019,North Dakota,All students,243.0
2019,Ohio,All students,241.0
2019,Oklahoma,All students,237.0
2019,Oregon,All students,236.0
2019,Pennsylvania,All students,244.0
2019,Rhode Island,All students,239.0
2019,South Carolina,All students,237.0
2019,South Dakota,All students,241.0
2019,Tennessee,All students,240.0
2019,Texas,All students,244.0
2019,Utah,All students,244.0
2019,Vermont,All students,239.0
2019,Virginia,All students,247.0
2019,Washington,All students,240.0
2019,West Virginia,All students,231.0
2019,Wisconsin,All students,242.0
2019,Wyoming,All students,246.0
2017,National,All students,240.0
2017,Alabama,All students,232.0
2017,Alaska,All students,230.0
2017,Arizona,All students,234.0
2017,Arkansas,All students,234.0
2017,California,All students,232.0
2017,Colorado,All students,241.0
2017,Connecticut,All students,239.0
2017,Delaware,All students,236.0
2017,Florida,All students,246.0
2017,Georgia,All students,236.0
2017,Hawaii,All students,238.0
2017,Idaho,All students,240.0
2017,Illinois,All students,238.0
2017,Indiana,All students,247.0
2017,Iowa,All students,243.0
2017,Kansas,All students,241.0
2017,Kentucky,All students,239.0
2017,Louisiana,All students,229.0
2017,Maine,All students,240.0
2017,Maryland,All students,241.0
2017,Massachusetts,All students,249.0
2017,Michigan,All students,236.0
2017,Minnesota,All students,249.0
2017,Mississippi,All students,235.0
2017,Missouri,All students,240.0
2017,Montana,All students,241.0
2017,Nebraska,All students,246.0
2017,Nevada,All students,232.0
2017,New Hampshire,All students,245.0
2017,New Jersey,All students,248.0
2017,New Mexico,All students,230.0
2017,New York,All students,236.0
2017,North Carolina,All students,241.0
2017,North Dakota,All students,244.0
2017,Ohio,All students,241.0
2017,Oklahoma,All students,237.0
2017,Oregon,All students,233.0
2017,Pennsylvania,All students,242.0
2017,Rhode Island,All students,238.0
2017,South Carolina,All students,234.0
2017,South Dakota,All students,242.0
2017,Tennessee,All students,237.0
2017,Texas,All students,241.0
2017,Utah,All students,242.0
2017,Vermont,All students,241.0
2017,Virginia,All students,248.0
2017,Washington,All students,242.0
2017,West Virginia,All students,236.0
2017,Wisconsin,All students,240.0
2017,Wyoming,All students,248.0
2015,National,All students,240.0
2015,Alabama,All students,231.0
2015,Alaska,All students,236.0
2015,Arizona,All students,238.0
2015,Arkansas,All students,235.0
2015,California,All students,232.0
2015,Colorado,All students,242.0
2015,Connecticut,All students,240.0
2015,Delaware,All students,239.0
2015,Florida,All students,243.0
2015,Georgia,All students,236.0
2015,Hawaii,All students,238.0
2015,Idaho,All students,239.0
2015,Illinois,All students,237.0
2015,Indiana,All students,248.0
2015,Iowa,All students,243.0
2015,Kansas,All students,241.0
2015,Kentucky,All students,242.0
2015,Louisiana,All students,234.0
2015,Maine,All students,242.0
2015,Maryland,All students,239.0
2015,Massachusetts,All students,251.0
2015,Michigan,All students,236.0
2015,Minnesota,All students,250.0
2015,Mississippi,All students,234.0
2015,Missouri,All students,239.0
2015,Montana,All students,241.0
2015,Nebraska,All students,244.0
2015,Nevada,All students,234.0
2015,New Hampshire,All students,249.0
2015,New Jersey,All students,245.0
2015,New Mexico,All students,231.0
2015,New York,All students,237.0
2015,North Carolina,All students,244.0
2015,North Dakota,All students,245.0
2015,Ohio,All students,244.0
2015,Oklahoma,All students,240.0
2015,Oregon,All students,238.0
2015,Pennsylvania,All students,243.0
2015,Rhode Island,All students,238.0
2015,South Carolina,All students,237.0
2015,South Dakota,All students,240.0
2015,Tennessee,All students,241.0
2015,Texas,All students,244.0
2015,Utah,All students,243.0
2015,Vermont,All students,243.0
2015,Virginia,All students,247.0
2015,Washington,All students,245.0
2015,West Virginia,All students,235.0
2015,Wisconsin,All students,243.0
2015,Wyoming,All students,247.0
2013,National,All students,242.0
2013,Alabama,All students,233.0
2013,Alaska,All students,236.0
2013,Arizona,All students,240.0
2013,Arkansas,All students,240.0
2013,California,All students,234.0
2013,Colorado,All students,247.0
2013,Connecticut,All students,243.0
2013,Delaware,All students,243.0
2013,Florida,All students,242.0
2013,Georgia,All students,240.0
2013,Hawaii,All students,243.0
2013,Idaho,All students,241.0
2013,Illinois,All students,239.0
2013,Indiana,All students,249.0
2013,Iowa,All students,246.0
2013,Kansas,All students,246.0
2013,Kentucky,All students,241.0
2013,Louisiana,All students,231.0
2013,Maine,All students,246.0
2013,Maryland,All students,245.0
2013,Massachusetts,All students,253.0
2013,Michigan,All students,237.0
2013,Minnesota,All students,253.0
2013,Mississippi,All students,231.0
2013,Missouri,All students,240.0
2013,Montana,All students,244.0
2013,Nebraska,All students,243.0
2013,Nevada,All students,236.0
2013,New Hampshire,All students,253.0
2013,New Jersey,All students,247.0
2013,New Mexico,All students,233.0
2013,New York,All students,240.0
2013,North Carolina,All students,245.0
2013,North Dakota,All students,246.0
2013,Ohio,All students,246.0
2013,Oklahoma,All students,239.0
2013,Oregon,All students,240.0
2013,Pennsylvania,All students,244.0
2013,Rhode Island,All students,241.0
2013,South Carolina,All students,237.0
2013,South Dakota,All students,241.0
2013,Tennessee,All students,240.0
2013,Texas,All students,242.0
2013,Utah,All students,243.0
2013,Vermont,All students,248.0
2013,Virginia,All students,246.0
2013,Washington,All students,246.0
2013,West Virginia,All students,237.0
2013,Wisconsin,All students,245.0
2013,Wyoming,All students,247.0
2011,National,All students,241.0
2011,Alabama,All students,231.0
2011,Alaska,All students,236.0
2011,Arizona,All students,235.0
2011,Arkansas,All students,238.0
2011,California,All students,234.0
2011,Colorado,All students,244.0
2011,Connecticut,All students,242.0
2011,Delaware,All students,240.0
2011,Florida,All students,240.0
2011,Georgia,All students,238.0
2011,Hawaii,All students,239.0
2011,Idaho,All students,240.0
2011,Illinois,All students,239.0
2011,Indiana,All students,244.0
2011,Iowa,All students,243.0
2011,Kansas,All students,246.0
2011,Kentucky,All students,241.0
2011,Louisiana,All students,231.0
2011,Maine,All students,244.0
2011,Maryland,All students,247.0
2011,Massachusetts,All students,253.0
2011,Michigan,All students,236.0
2011,Minnesota,All students,249.0
2011,Mississippi,All students,230.0
2011,Missouri,All students,240.0
2011,Montana,All students,244.0
2011,Nebraska,All students,240.0
2011,Nevada,All students,237.0
2011,New Hampshire,All students,252.0
2011,New Jersey,All students,248.0
2011,New Mexico,All students,233.0
2011,New York,All students,238.0
2011,North Carolina,All students,245.0
2011,North Dakota,All students,245.0
2011,Ohio,All students,244.0
2011,Oklahoma,All students,237.0
2011,Oregon,All students,237.0
2011,Pennsylvania,All students,246.0
2011,Rhode Island,All students,242.0
2011,South Carolina,All students,237.0
2011,South Dakota,All students,241.0
2011,Tennessee,All students,233.0
2011,Texas,All students,241.0
2011,Utah,All students,243.0
2011,Vermont,All students,247.0
2011,Virginia,All students,245.0
2011,Washington,All students,243.0
2011,West Virginia,All students,235.0
2011,Wisconsin,All students,245.0
2011,Wyoming,All students,244.0
2009,National,All students,240.0
2009,Alabama,All students,228.0
2009,Alaska,All students,237.0
2009,Arizona,All students,230.0
2009,Arkansas,All students,238.0
2009,California,All students,232.0
2009,Colorado,All students,243.0
2009,Connecticut,All students,245.0
2009,Delaware,All students,239.0
2009,Florida,All students,242.0
2009,Georgia,All students,236.0
2009,Hawaii,All students,236.0
2009,Idaho,All students,241.0
2009,Illinois,All students,238.0
2009,Indiana,All students,243.0
2009,Iowa,All students,243.0
2009,Kansas,All students,245.0
2009,Kentucky,All students,239.0
2009,Louisiana,All students,229.0
2009,Maine,All students,244.0
2009,Maryland,All students,244.0
2009,Massachusetts,All students,252.0
2009,Michigan,All students,236.0
2009,Minnesota,All students,249.0
2009,Mississippi,All students,227.0
2009,Missouri,All students,241.0
2009,Montana,All students,244.0
2009,Nebraska,All students,239.0
2009,Nevada,All students,235.0
2009,New Hampshire,All students,251.0
2009,New Jersey,All students,247.0
2009,New Mexico,All students,230.0
2009,New York,All students,241.0
2009,North Carolina,All students,244.0
2009,North Dakota,All students,245.0
2009,Ohio,All students,244.0
2009,Oklahoma,All students,237.0
2009,Oregon,All students,238.0
2009,Pennsylvania,All students,244.0
2009,Rhode Island,All students,239.0
2009,South Carolina,All students,236.0
2009,South Dakota,All students,242.0
2009,Tennessee,All students,232.0
2009,Texas,All students,240.0
2009,Utah,All students,240.0
2009,Vermont,All students,248.0
2009,Virginia,All students,243.0
2009,Washington,All students,242.0
2009,West Virginia,All students,233.0
2009,Wisconsin,All students,244.0
2009,Wyoming,All students,242.0
2007,National,All students,240.0
2007,Alabama,All students,229.0
2007,Alaska,All students,237.0
2007,Arizona,All students,232.0
2007,Arkansas,All students,238.0
2007,California,All students,230.0
2007,Colorado,All students,240.0
2007,Connecticut,All students,243.0
2007,Delaware,All students,242.0
2007,Florida,All students,242.0
2007,Georgia,All students,235.0
2007,Hawaii,All students,234.0
2007,Idaho,All students,241.0
2007,Illinois,All students,237.0
2007,Indiana,All students,245.0
2007,Iowa,All students,243.0
2007,Kansas,All students,248.0
2007,Kentucky,All students,235.0
2007,Louisiana,All students,230.0
2007,Maine,All students,242.0
2007,Maryland,All students,240.0
2007,Massachusetts,All students,252.0
2007,Michigan,All students,238.0
2007,Minnesota,All students,247.0
2007,Mississippi,All students,228.0
2007,Missouri,All students,239.0
2007,Montana,All students,244.0
2007,Nebraska,All students,238.0
2007,Nevada,All students,232.0
2007,New Hampshire,All students,249.0
2007,New Jersey,All students,249.0
2007,New Mexico,All students,228.0
2007,New York,All students,243.0
2007,North Carolina,All students,242.0
2007,North Dakota,All students,245.0
2007,Ohio,All students,245.0
2007,Oklahoma,All students,237.0
2007,Oregon,All students,236.0
2007,Pennsylvania,All students,244.0
2007,Rhode Island,All students,236.0
2007,South Carolina,All students,237.0
2007,South Dakota,All students,241.0
2007,Tennessee,All students,233.0
2007,Texas,All students,242.0
2007,Utah,All students,239.0
2007,Vermont,All students,246.0
2007,Virginia,All students,244.0
2007,Washington,All students,243.0
2007,West Virginia,All students,236.0
2007,Wisconsin,All students,244.0
2007,Wyoming,All students,244.0
2005,National,All students,238.0
2005,Alabama,All students,225.0
2005,Alaska,All students,236.0
2005,Arizona,All students,230.0
2005,Arkansas,All students,236.0
2005,California,All students,230.0
2005,Colorado,All students,239.0
2005,Connecticut,All students,242.0
2005,Delaware,All students,240.0
2005,Florida,All students,239.0
2005,Georgia,All students,234.0
2005,Hawaii,All students,230.0
2005,Idaho,All students,242.0
2005,Illinois,All students,233.0
2005,Indiana,All students,240.0
2005,Iowa,All students,240.0
2005,Kansas,All students,246.0
2005,Kentucky,All students,231.0
2005,Louisiana,All students,230.0
2005,Maine,All students,241.0
2005,Maryland,All students,238.0
2005,Massachusetts,All students,247.0
2005,Michigan,All students,238.0
2005,Minnesota,All students,246.0
2005,Mississippi,All students,227.0
2005,Missouri,All students,235.0
2005,Montana,All students,241.0
2005,Nebraska,All students,238.0
2005,Nevada,All students,230.0
2005,New Hampshire,All students,246.0
2005,New Jersey,All students,244.0
2005,New Mexico,All students,224.0
2005,New York,All students,238.0
2005,North Carolina,All students,241.0
2005,North Dakota,All students,243.0
2005,Ohio,All students,242.0
2005,Oklahoma,All students,234.0
2005,Oregon,All students,238.0
2005,Pennsylvania,All students,241.0
2005,Rhode Island,All students,233.0
2005,South Carolina,All students,238.0
2005,South Dakota,All students,242.0
2005,Tennessee,All students,232.0
2005,Texas,All students,242.0
2005,Utah,All students,239.0
2005,Vermont,All students,244.0
2005,Virginia,All students,240.0
2005,Washington,All students,242.0
2005,West Virginia,All students,231.0
2005,Wisconsin,All students,241.0
2005,Wyoming,All students,243.0
2003,National,All students,235.0
2003,Alabama,All students,223.0
2003,Alaska,All students,233.0
2003,Arizona,All students,229.0
2003,Arkansas,All students,229.0
2003,California,All students,227.0
2003,Colorado,All students,235.0
2003,Connecticut,All students,241.0
2003,Delaware,All students,236.0
2003,Florida,All students,234.0
2003,Georgia,All students,230.0
2003,Hawaii,All students,227.0
2003,Idaho,All students,235.0
2003,Illinois,All students,233.0
2003,Indiana,All students,238.0
2003,Iowa,All students,238.0
2003,Kansas,All students,242.0
2003,Kentucky,All students,229.0
2003,Louisiana,All students,226.0
2003,Maine,All students,238.0
2003,Maryland,All students,233.0
2003,Massachusetts,All students,242.0
2003,Michigan,All students,236.0
2003,Minnesota,All students,242.0
2003,Mississippi,All students,223.0
2003,Missouri,All students,235.0
2003,Montana,All students,236.0
2003,Nebraska,All students,236.0
2003,Nevada,All students,228.0
2003,New Hampshire,All students,243.0
2003,New Jersey,All students,239.0
2003,New Mexico,All students,223.0
2003,New York,All students,236.0
2003,North Carolina,All students,242.0
2003,North Dakota,All students,238.0
2003,Ohio,All students,238.0
2003,Oklahoma,All students,229.0
2003,Oregon,All students,236.0
2003,Pennsylvania,All students,236.0
2003,Rhode Island,All students,230.0
2003,South Carolina,All students,236.0
2003,South Dakota,All students,237.0
2003,Tennessee,All students,228.0
2003,Texas,All students,237.0
2003,Utah,All students,235.0
2003,Vermont,All students,242.0
2003,Virginia,All students,239.0
2003,Washington,All students,238.0
2003,West Virginia,All students,231.0
2003,Wisconsin,All students,237.0
2003,Wyoming,All students,241.0
