Jurisdiction,Gaps
Alabama,"[-8.0, -7.0, -6.0, -6.0, -9.0, -5.0, -8.0, -8.0, -7.0, -10.0, -10.0]"
Alaska,"[-7.0, -13.0, -8.0, -9.0, -9.0, -8.0, -6.0, -6.0, -8.0, -7.0, -13.0]"
Arizona,"[-11.0, -6.0, -8.0, -8.0, -6.0, -7.0, -6.0, -9.0, -5.0, -5.0, -5.0]"
Arkansas,"[-6.0, -9.0, -8.0, -8.0, -11.0, -5.0, -8.0, -10.0, -9.0, -5.0, -9.0]"
California,"[-4.0, -7.0, -7.0, -9.0, -6.0, -5.0, -6.0, -6.0, -9.0, -9.0, -7.0]"
Colorado,"[-7.0, -7.0, -6.0, -5.0, -7.0, -9.0, -8.0, -7.0, -6.0, -8.0, -4.0]"
Connecticut,"[-7.0, -8.0, -8.0, -7.0, -9.0, -8.0, -5.0, -8.0, -5.0, -7.0, 0.0]"
Delaware,"[-4.0, -4.0, -6.0, -6.0, -5.0, -5.0, -4.0, -5.0, -9.0, -7.0, -8.0]"
Florida,"[-8.0, -8.0, -5.0, -7.0, -6.0, -7.0, -7.0, -7.0, -5.0, -9.0, -7.0]"
Georgia,"[-8.0, -8.0, -9.0, -6.0, -7.0, -10.0, -6.0, -6.0, -7.0, -8.0, -10.0]"
Hawaii,"[-10.0, -13.0, -9.0, -11.0, -12.0, -11.0, -12.0, -9.0, -9.0, -9.0, -12.0]"
Idaho,"[-8.0, -5.0, -7.0, -5.0, -9.0, -6.0, -5.0, -7.0, -5.0, -11.0, -8.0]"
Illinois,"[-7.0, -5.0, -3.0, -5.0, -9.0, -5.0, -7.0, -6.0, -7.0, -6.0, -2.0]"
Indiana,"[-4.0, -8.0, -8.0, -5.0, -9.0, -8.0, -7.0, -6.0, -5.0, -8.0, -3.0]"
Iowa,"[-6.0, -7.0, -6.0, -6.0, -9.0, -6.0, -6.0, -5.0, -6.0, -5.0, -4.0]"
Kansas,"[-8.0, -8.0, -5.0, -7.0, -4.0, -9.0, -7.0, -8.0, -5.0, -8.0, -7.0]"
Kentucky,"[-9.0, -8.0, -4.0, -7.0, -7.0, -4.0, -7.0, -4.0, -4.0, -6.0, -3.0]"
Louisiana,"[-6.0, -10.0, -3.0, -9.0, -9.0, -9.0, -8.0, -11.0, -3.0, -10.0, -9.0]"
Maine,"[-6.0, -5.0, -7.0, -5.0, -8.0, -6.0, -7.0, -8.0, -5.0, -7.0, -6.0]"
Maryland,"[-6.0, -7.0, -6.0, -7.0, -6.0, -7.0, -8.0, -10.0, -9.0, -5.0, -5.0]"
Massachusetts,"[-6.0, -6.0, -3.0, -5.0, -5.0, -5.0, -6.0, -5.0, -6.0, -10.0, -6.0]"
Michigan,"[-6.0, -6.0, -5.0, -8.0, -8.0, -6.0, -7.0, -5.0, -8.0, -8.0, -6.0]"
Minnesota,"[-9.0, -13.0, -8.0, -4.0, -7.0, -6.0, -8.0, -11.0, -5.0, -5.0, -7.0]"
Mississippi,"[-6.0, -7.0, -8.0, -8.0, -5.0, -11.0, -3.0, -5.0, -7.0, -7.0, -11.0]"
Missouri,"[-8.0, -7.0, -6.0, -9.0, -10.0, -10.0, -7.0, -7.0, -4.0, -8.0, -5.0]"
Montana,"[-10.0, -10.0, -5.0, -3.0, -6.0, -7.0, -6.0, -8.0, -5.0, -8.0, -9.0]"
National,"[-7.0, -7.0, -6.0, -6.0, -6.0, -7.0, -6.0, -7.0, -6.0, -7.0, -7.0]"
Nebraska,"[-7.0, -5.0, -5.0, -4.0, -5.0, -6.0, -4.0, -9.0, -7.0, -9.0, -6.0]"
Nevada,"[-6.0, -9.0, -9.0, -6.0, -6.0, -6.0, -8.0, -3.0, -8.0, -7.0, -3.0]"
New Hampshire,"[-7.0, -8.0, -7.0, -6.0, -7.0, -9.0, -6.0, -11.0, -2.0, -9.0, -7.0]"
New Jersey,"[-7.0, -7.0, -5.0, -6.0, -5.0, -4.0, -5.0, -7.0, -8.0, -7.0, -12.0]"
New Mexico,"[-7.0, -5.0, -8.0, -3.0, -10.0, -6.0, -8.0, -11.0, -8.0, -8.0, -9.0]"
New York,"[-10.0, -8.0, -5.0, -7.0, -7.0, -7.0, -6.0, -7.0, -6.0, -5.0, -1.0]"
North Carolina,"[-7.0, -11.0, -8.0, -8.0, -9.0, -8.0, -7.0, -8.0, -6.0, -11.0, -6.0]"
North Dakota,"[-6.0, -7.0, -5.0, -5.0, -6.0, -5.0, -8.0, -2.0, -10.0, -8.0, -7.0]"
Ohio,"[-5.0, -8.0, -7.0, -5.0, -5.0, -4.0, -6.0, -6.0, -4.0, -4.0, -6.0]"
Oklahoma,"[-7.0, -7.0, -6.0, -6.0, -6.0, -6.0, -8.0, -6.0, -7.0, -4.0, -11.0]"
Oregon,"[-9.0, -10.0, -7.0, -6.0, -9.0, -9.0, -9.0, -7.0, -11.0, -5.0, -7.0]"
Pennsylvania,"[-5.0, -7.0, -8.0, -7.0, -5.0, -9.0, -10.0, -8.0, -2.0, -9.0, -4.0]"
Rhode Island,"[-5.0, -7.0, -9.0, -8.0, -10.0, -9.0, -10.0, -5.0, -5.0, -5.0, -11.0]"
South Carolina,"[-9.0, -8.0, -7.0, -8.0, -6.0, -10.0, -9.0, -10.0, -7.0, -8.0, -7.0]"
South Dakota,"[-7.0, -5.0, -8.0, -7.0, -5.0, -6.0, -8.0, -5.0, -5.0, -4.0, -11.0]"
Tennessee,"[-6.0, -9.0, -8.0, -6.0, -6.0, -8.0, -7.0, -10.0, -8.0, -4.0, -6.0]"
Texas,"[-4.0, -6.0, -6.0, -6.0, -6.0, -4.0, -4.0, -6.0, -3.0, -8.0, -4.0]"
Utah,"[-7.0, -9.0, -10.0, -8.0, -5.0, -5.0, -8.0, -8.0, -9.0, -8.0, -4.0]"
Vermont,"[-8.0, -5.0, -7.0, -7.0, -5.0, -6.0, -10.0, -8.0, -7.0, -8.0, -4.0]"
Virginia,"[-4.0, -9.0, -5.0, -6.0, -7.0, -7.0, -7.0, -5.0, -3.0, -6.0, -13.0]"
Washington,"[-7.0, -10.0, -9.0, -6.0, -9.0, -10.0, -6.0, -14.0, -6.0, -5.0, -5.0]"
West Virginia,"[-4.0, -8.0, -7.0, -9.0, -7.0, -9.0, -8.0, -8.0, -9.0, -10.0, -3.0]"
Wisconsin,"[-7.0, -8.0, -5.0, -2.0, -7.0, -5.0, -9.0, -6.0, -6.0, -8.0, -9.0]"
Wyoming,"[-5.0, -6.0, -5.0, -6.0, -7.0, -7.0, -6.0, -5.0, -6.0, -2.0, -3.0]"
